04-10-2026 18:04:25 RAM 5265/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@1984,0%@1984,0%@1984,0%@1190,0%@1190,0%@1190,0%@1190] GR3D_FREQ 0% cv0@37.843C cpu@42.281C soc2@36.5C soc0@39.187C cv1@38.468C gpu@40.687C tj@42.281C soc1@37.281C cv2@33.906C VDD_IN 6531mW/6531mW VDD_CPU_GPU_CV 2053mW/2053mW VDD_SOC 1491mW/1491mW
04-10-2026 18:04:26 RAM 5265/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,8%@729,0%@729,0%@729,9%@729,16%@729,9%@729,9%@729] GR3D_FREQ 0% cv0@37.843C cpu@42.281C soc2@36.406C soc0@39.156C cv1@38.437C gpu@40.687C tj@42.281C soc1@37.343C cv2@33.968C VDD_IN 6128mW/6330mW VDD_CPU_GPU_CV 1731mW/1892mW VDD_SOC 1451mW/1471mW
04-10-2026 18:04:26 RAM 5265/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [8%@729,0%@729,0%@729,8%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.812C cpu@42.093C soc2@36.406C soc0@39.062C cv1@38.5C gpu@40.562C tj@42.093C soc1@37.281C cv2@33.875C VDD_IN 5806mW/6155mW VDD_CPU_GPU_CV 1449mW/1744mW VDD_SOC 1451mW/1464mW
04-10-2026 18:04:26 RAM 5265/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,9%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@42.187C soc2@36.343C soc0@39.125C cv1@38.375C gpu@40.5C tj@42.187C soc1@37.343C cv2@33.812C VDD_IN 5564mW/6007mW VDD_CPU_GPU_CV 1247mW/1620mW VDD_SOC 1451mW/1461mW
04-10-2026 18:04:26 RAM 5265/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,15%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.781C cpu@41.906C soc2@36.312C soc0@39.156C cv1@38.468C gpu@40.531C tj@41.906C soc1@37.406C cv2@33.968C VDD_IN 5362mW/5878mW VDD_CPU_GPU_CV 1127mW/1521mW VDD_SOC 1451mW/1459mW
04-10-2026 18:04:26 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,8%@1984,10%@1984,9%@1984,0%@729,0%@729,9%@729,30%@729] GR3D_FREQ 0% cv0@37.781C cpu@42C soc2@36.343C soc0@39.125C cv1@38.5C gpu@40.437C tj@42.125C soc1@37.281C cv2@33.812C VDD_IN 5322mW/5786mW VDD_CPU_GPU_CV 1046mW/1442mW VDD_SOC 1451mW/1458mW
04-10-2026 18:04:26 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,8%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.687C cpu@42.125C soc2@36.343C soc0@39.125C cv1@38.375C gpu@40.406C tj@42.125C soc1@37.312C cv2@33.875C VDD_IN 5160mW/5696mW VDD_CPU_GPU_CV 925mW/1368mW VDD_SOC 1449mW/1456mW
04-10-2026 18:04:26 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,8%@1984,0%@1984,9%@1984,9%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@41.843C soc2@36.312C soc0@39.218C cv1@38.437C gpu@40.812C tj@41.843C soc1@37.406C cv2@33.812C VDD_IN 5080mW/5619mW VDD_CPU_GPU_CV 845mW/1303mW VDD_SOC 1408mW/1450mW
04-10-2026 18:04:26 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@1984,0%@1984,8%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@41.875C soc2@36.25C soc0@39.156C cv1@38.281C gpu@40.406C tj@41.875C soc1@37.25C cv2@33.843C VDD_IN 4999mW/5550mW VDD_CPU_GPU_CV 805mW/1248mW VDD_SOC 1408mW/1446mW
04-10-2026 18:04:26 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [16%@729,0%@729,0%@729,0%@729,9%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.687C cpu@41.906C soc2@36.218C soc0@39.156C cv1@38.375C gpu@40.406C tj@41.906C soc1@37.312C cv2@33.906C VDD_IN 4959mW/5491mW VDD_CPU_GPU_CV 764mW/1199mW VDD_SOC 1408mW/1442mW
04-10-2026 18:04:27 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.75C cpu@41.781C soc2@36.281C soc0@39.093C cv1@38.375C gpu@40.687C tj@41.781C soc1@37.218C cv2@33.75C VDD_IN 4919mW/5439mW VDD_CPU_GPU_CV 724mW/1156mW VDD_SOC 1408mW/1439mW
