04-10-2026 18:13:07 RAM 4104/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [88%@1984,45%@1984,30%@1984,20%@1984,30%@1804,22%@1804,44%@1804,77%@1804] GR3D_FREQ 0% cv0@38.75C cpu@43.375C soc2@37.031C soc0@39.093C cv1@39.031C gpu@40.875C tj@43.375C soc1@37.437C cv2@34.156C VDD_IN 9046mW/9046mW VDD_CPU_GPU_CV 4065mW/4065mW VDD_SOC 1615mW/1615mW
04-10-2026 18:13:08 RAM 4110/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,15%@1984,0%@1984,9%@1984,0%@1984,8%@1984,100%@1984] GR3D_FREQ 0% cv0@38.281C cpu@43.093C soc2@36.812C soc0@39.25C cv1@38.843C gpu@40.937C tj@43.093C soc1@37.437C cv2@34.218C VDD_IN 8480mW/8763mW VDD_CPU_GPU_CV 3623mW/3844mW VDD_SOC 1574mW/1595mW
04-10-2026 18:13:08 RAM 4113/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@1984,9%@1984,0%@1984,100%@1984] GR3D_FREQ 0% cv0@38.25C cpu@42.812C soc2@36.687C soc0@39.25C cv1@38.843C gpu@40.906C tj@42.812C soc1@37.625C cv2@34.093C VDD_IN 8036mW/8521mW VDD_CPU_GPU_CV 3260mW/3649mW VDD_SOC 1572mW/1587mW
04-10-2026 18:13:08 RAM 4116/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1984,8%@1984,0%@1984,100%@1984] GR3D_FREQ 0% cv0@38.25C cpu@42.781C soc2@36.687C soc0@39.218C cv1@38.718C gpu@40.812C tj@42.781C soc1@37.406C cv2@34.093C VDD_IN 7672mW/8309mW VDD_CPU_GPU_CV 3019mW/3492mW VDD_SOC 1532mW/1573mW
04-10-2026 18:13:08 RAM 4120/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [70%@1984,70%@1984,66%@1984,63%@1984,63%@1984,63%@1984,70%@1984,100%@1984] GR3D_FREQ 0% cv0@38.593C cpu@43.187C soc2@36.781C soc0@39.218C cv1@38.812C gpu@40.875C tj@43.187C soc1@37.406C cv2@34.187C VDD_IN 7672mW/8181mW VDD_CPU_GPU_CV 3059mW/3405mW VDD_SOC 1532mW/1565mW
04-10-2026 18:13:08 RAM 4124/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@1984,10%@1984,0%@1984,0%@1984,0%@1984,0%@1984,0%@1984,91%@1984] GR3D_FREQ 0% cv0@38.187C cpu@42.75C soc2@36.625C soc0@39.343C cv1@38.843C gpu@40.718C tj@42.75C soc1@37.5C cv2@34.031C VDD_IN 7430mW/8056mW VDD_CPU_GPU_CV 2817mW/3307mW VDD_SOC 1532mW/1560mW
04-10-2026 18:13:08 RAM 4107/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [40%@1804,0%@1804,0%@1804,0%@1804,0%@729,0%@729,0%@729,50%@729] GR3D_FREQ 0% cv0@38.062C cpu@42.687C soc2@36.687C soc0@39.187C cv1@38.656C gpu@41.031C tj@42.687C soc1@37.468C cv2@34.125C VDD_IN 7136mW/7925mW VDD_CPU_GPU_CV 2536mW/3197mW VDD_SOC 1532mW/1556mW
04-10-2026 18:13:08 RAM 4114/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@729,0%@729,23%@729,9%@729,90%@1984,0%@1984,0%@1984,0%@1984] GR3D_FREQ 0% cv0@38.5C cpu@43.375C soc2@36.656C soc0@39.281C cv1@38.812C gpu@40.875C tj@43.375C soc1@37.5C cv2@34.156C VDD_IN 7015mW/7811mW VDD_CPU_GPU_CV 2455mW/3104mW VDD_SOC 1532mW/1553mW
04-10-2026 18:13:08 RAM 4118/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@1984,0%@1984,0%@1984,0%@1984] GR3D_FREQ 0% cv0@38.531C cpu@43.406C soc2@36.656C soc0@39.312C cv1@38.875C gpu@40.843C tj@43.406C soc1@37.468C cv2@34.031C VDD_IN 6894mW/7709mW VDD_CPU_GPU_CV 2375mW/3023mW VDD_SOC 1491mW/1546mW
04-10-2026 18:13:08 RAM 4120/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,100%@1984,0%@1984,0%@1984,0%@1984] GR3D_FREQ 0% cv0@38.5C cpu@43.187C soc2@36.656C soc0@39.187C cv1@38.781C gpu@40.812C tj@43.187C soc1@37.406C cv2@34.093C VDD_IN 6814mW/7620mW VDD_CPU_GPU_CV 2294mW/2950mW VDD_SOC 1491mW/1540mW
04-10-2026 18:13:09 RAM 4124/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [54%@1958,60%@1958,54%@1958,54%@1958,100%@1984,54%@1984,54%@1984,54%@1984] GR3D_FREQ 0% cv0@38.781C cpu@43.562C soc2@36.718C soc0@39.218C cv1@38.843C gpu@40.718C tj@43.468C soc1@37.437C cv2@34.156C VDD_IN 6935mW/7557mW VDD_CPU_GPU_CV 2455mW/2905mW VDD_SOC 1491mW/1536mW
04-10-2026 18:13:09 RAM 4136/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [10%@1497,0%@1497,0%@1497,10%@1497,100%@1984,10%@1984,16%@1984,10%@1984] GR3D_FREQ 0% cv0@38.437C cpu@43.125C soc2@36.656C soc0@39.281C cv1@38.843C gpu@41.062C tj@43.125C soc1@37.593C cv2@34.093C VDD_IN 6894mW/7502mW VDD_CPU_GPU_CV 2415mW/2864mW VDD_SOC 1491mW/1532mW
04-10-2026 18:13:09 RAM 4139/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@1984,0%@1984,0%@1984,0%@1984,36%@1190,0%@1190,0%@1190,0%@1190] GR3D_FREQ 0% cv0@38.093C cpu@42.5C soc2@36.593C soc0@39.187C cv1@38.656C gpu@40.937C tj@42.5C soc1@37.468C cv2@34.187C VDD_IN 6572mW/7430mW VDD_CPU_GPU_CV 2133mW/2808mW VDD_SOC 1491mW/1529mW
04-10-2026 18:13:09 RAM 4139/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,9%@729] GR3D_FREQ 0% cv0@37.937C cpu@42.218C soc2@36.531C soc0@39.25C cv1@38.687C gpu@40.656C tj@42.218C soc1@37.468C cv2@34.093C VDD_IN 6168mW/7340mW VDD_CPU_GPU_CV 1771mW/2734mW VDD_SOC 1451mW/1523mW
04-10-2026 18:13:09 RAM 4139/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@1984,0%@1984,8%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.906C cpu@42.187C soc2@36.593C soc0@39.187C cv1@38.625C gpu@40.625C tj@42.187C soc1@37.531C cv2@33.968C VDD_IN 5846mW/7241mW VDD_CPU_GPU_CV 1529mW/2654mW VDD_SOC 1451mW/1519mW
04-10-2026 18:13:09 RAM 4139/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,15%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.937C cpu@42.218C soc2@36.5C soc0@39.187C cv1@38.562C gpu@40.562C tj@42.218C soc1@37.406C cv2@34.031C VDD_IN 5604mW/7138mW VDD_CPU_GPU_CV 1288mW/2568mW VDD_SOC 1451mW/1514mW
04-10-2026 18:13:09 RAM 4139/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,9%@729] GR3D_FREQ 0% cv0@37.875C cpu@42.312C soc2@36.406C soc0@39.187C cv1@38.5C gpu@40.875C tj@42.312C soc1@37.406C cv2@34.062C VDD_IN 5402mW/7036mW VDD_CPU_GPU_CV 1127mW/2484mW VDD_SOC 1451mW/1511mW
04-10-2026 18:13:09 RAM 4139/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [16%@729,0%@729,9%@729,0%@729,9%@729,0%@729,0%@729,8%@729] GR3D_FREQ 0% cv0@37.906C cpu@42.156C soc2@36.437C soc0@39.187C cv1@38.562C gpu@40.687C tj@42.156C soc1@37.406C cv2@33.968C VDD_IN 5241mW/6936mW VDD_CPU_GPU_CV 1006mW/2402mW VDD_SOC 1451mW/1507mW
04-10-2026 18:13:09 RAM 4140/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,9%@1984,9%@1984,9%@1984,16%@806,16%@806,9%@806,30%@806] GR3D_FREQ 0% cv0@37.937C cpu@42.281C soc2@36.5C soc0@39.156C cv1@38.5C gpu@40.656C tj@42.281C soc1@37.406C cv2@33.968C VDD_IN 5281mW/6849mW VDD_CPU_GPU_CV 1006mW/2328mW VDD_SOC 1451mW/1504mW
04-10-2026 18:13:09 RAM 4140/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@1984,0%@1984,9%@1984,0%@1984,0%@729,0%@729,0%@729,9%@729] GR3D_FREQ 0% cv0@37.843C cpu@42.25C soc2@36.406C soc0@39.218C cv1@38.468C gpu@40.593C tj@42.031C soc1@37.468C cv2@33.968C VDD_IN 5201mW/6767mW VDD_CPU_GPU_CV 925mW/2258mW VDD_SOC 1451mW/1502mW
04-10-2026 18:13:10 RAM 4140/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,9%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.875C cpu@42.031C soc2@36.375C soc0@39.312C cv1@38.468C gpu@40.531C tj@42.031C soc1@37.468C cv2@33.937C VDD_IN 5080mW/6687mW VDD_CPU_GPU_CV 845mW/2191mW VDD_SOC 1449mW/1499mW
04-10-2026 18:13:10 RAM 4140/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [8%@729,0%@729,9%@729,0%@729,0%@729,0%@729,15%@729,0%@729] GR3D_FREQ 0% cv0@37.75C cpu@42.062C soc2@36.375C soc0@39.187C cv1@38.437C gpu@40.468C tj@42.218C soc1@37.406C cv2@33.937C VDD_IN 5040mW/6612mW VDD_CPU_GPU_CV 805mW/2128mW VDD_SOC 1449mW/1497mW
